Neh 1:1
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
γραμματεὺς N3V-NSM--- γραμματεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
οἱ RA--NPM--- ὁ
συνετίζοντες V1--PAPNPM συνετίζω
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἁγία A1A-NSF--- ἅγιος
ἐστὶν V9--PAI3S- εἰμί
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
μὴ D--------- μή
πενθεῖτε V2--PAI2P- πενθέω
μηδὲ C--------- μηδέ
κλαίετε V1--PAI2P- κλαίω
ὅτι C--------- ὅτι
ἔκλαιεν V1I-IAI3S- κλαίω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
ὡς C--------- ὡς
ἤκουσαν VAI-AAI3P- ἀκούω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος

Neh 8:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
πορεύεσθε V1--PMD2P- πορεύομαι
φάγετε VB--AAD2P- ἐσθίω
λιπάσματα N3M-APN--- λίπασμα
καὶ C--------- καί
πίετε VB--AAD2P- πίνω
γλυκάσματα N3M-APN--- γλύκασμα
καὶ C--------- καί
ἀποστείλατε VA--AAD2P- στέλλω ἀπο
μερίδας N3D-APF--- μερίς
τοῖς RA--DPM--- ὁ
μὴ D--------- μή
ἔχουσιν V1--PAPDPM ἔχω
ὅτι C--------- ὅτι
ἁγία A1A-NSF--- ἅγιος
ἐστὶν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
μὴ D--------- μή
διαπέσητε VA--AAS2P- πίπτω δια
ὅτι C--------- ὅτι
ἐστὶν V9--PAI3S- εἰμί
ἰσχὺς N3--NSF--- ἰσχύς
ὑμῶν RP--GP---- σύ

Neh 8:11
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
κατεσιώπων V3I-IAI3P- σιωπάω κατα
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
λέγοντες V1--PAPNPM λέγω
σιωπᾶτε V3--PAD2P- σιωπάω
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἁγία A1A-NSF--- ἅγιος
καὶ C--------- καί
μὴ D--------- μή
καταπίπτετε V1--PAI2P- πίπτω κατα

Neh 8:12
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
πιεῖν VB--AAN--- πίνω
καὶ C--------- καί
ἀποστέλλειν V1--PAN--- στέλλω ἀπο
μερίδας N3D-APF--- μερίς
καὶ C--------- καί
ποιῆσαι VA--AAN--- ποιέω
εὐφροσύνην N1--ASF--- εὐφροσύνη
μεγάλην A1--ASF--- μέγας
ὅτι C--------- ὅτι
συνῆκαν VX--XAI3P- ἵημι συν
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
οἷς RR--DPM--- ὅς
ἐγνώρισεν VAI-AAI3S- γνωρίζω
αὐτοῖς RD--DPM--- αὐτός

Neh 8:13
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
συνήχθησαν VQI-API3P- ἄγω συν
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPM--- ὁ
πατριῶν N1A-GPF--- πατριά
τῷ RA--DSM--- ὁ
παντὶ A3--DSM--- πᾶς
λαῷ N2--DSM--- λαός
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
πρὸς P--------- πρός
Εσδραν N---ASM--- Εσδραν
τὸν RA--ASM--- ὁ
γραμματέα N3V-ASM--- γραμματεύς
ἐπιστῆσαι VA--AAN--- ἵστημι ἐπι
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος

Neh 8:14
καὶ C--------- καί
εὕροσαν VA--AAI3P- εὑρίσκω
γεγραμμένον VP--XMPASM γράφω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
ᾧ RR--DSM--- ὅς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
ὅπως C--------- ὅπως
κατοικήσωσιν VA--AAS3P- οἰκέω κατα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
σκηναῖς N1--DPF--- σκηνή
ἐν P--------- ἐν
ἑορτῇ N1--DSF--- ἑορτή
ἐν P--------- ἐν
μηνὶ N3--DSM--- μήν
τῷ RA--DSM--- ὁ
ἑβδόμῳ A1--DSM--- ἕβδομος

Neh 8:15
καὶ C--------- καί
ὅπως C--------- ὅπως
σημάνωσιν VZ--AAS3P- σημαίνω
σάλπιγξιν N3G-DPF--- σάλπιγξ
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εσδρας N---NSM--- Εσδρας
ἐξέλθετε VB--AAD2P- ἔρχομαι ἐκ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
καὶ C--------- καί
ἐνέγκετε VBI-AAD2P- φέρω
φύλλα N2N-APN--- φύλλον
ἐλαίας N1A-GSF--- ἐλαία
καὶ C--------- καί
φύλλα N2N-APN--- φύλλον
ξύλων N2N-GPN--- ξύλον
κυπαρισσίνων A1--GPN--- κυπαρίσσινος
καὶ C--------- καί
φύλλα N2N-APN--- φύλλον
μυρσίνης N1--GSF--- μυρσίνη
καὶ C--------- καί
φύλλα N2N-APN--- φύλλον
φοινίκων N3K-GPM--- φοῖνιξ
καὶ C--------- καί
φύλλα N2N-APN--- φύλλον
ξύλου N2N-GSN--- ξύλον
δασέος A3U-GSM--- δασύς
ποιῆσαι VA--AAN--- ποιέω
σκηνὰς N1--APF--- σκηνή
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
γεγραμμένον VP--XMPASM γράφω

Neh 8:16
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
καὶ C--------- καί
ἤνεγκαν VAI-AAI3P- φέρω
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
σκηνὰς N1--APF--- σκηνή
ἀνὴρ N3--NSM--- ἀνήρ
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
δώματος N3M-GSN--- δῶμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
αὐλαῖς N1--DPF--- αὐλή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
αὐλαῖς N1--DPF--- αὐλή
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐν P--------- ἐν
πλατείαις A3U-DPF--- πλατύς
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
ἕως P--------- ἕως
πύλης N1--GSF--- πύλη
Εφραιμ N---GSM--- Ἐφράιμ

Neh 8:17
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
ἐκκλησία N1A-NSF--- ἐκκλησία
οἱ RA--NPM--- ὁ
ἐπιστρέψαντες VA--AAPNPM στρέφω ἐπι
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
σκηνὰς N1--APF--- σκηνή
καὶ C--------- καί
ἐκάθισαν VAI-AAI3P- ἵζω κατα
ἐν P--------- ἐν
σκηναῖς N1--DPF--- σκηνή
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐποίησαν VAI-AAI3P- ποιέω
ἀπὸ P--------- ἀπό
ἡμερῶν N1A-GPF--- ἡμέρα
Ἰησοῦ N---GSM--- Ἰησοῦς
υἱοῦ N2--GSM--- υἱός
Ναυη N---GSM--- Ναυη
οὕτως D--------- οὕτως
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἕως C--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἐκείνης RD--GSF--- ἐκεῖνος
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
εὐφροσύνη N1--NSF--- εὐφροσύνη
μεγάλη A1--NSF--- μέγας

Neh 8:18
καὶ C--------- καί
ἀνέγνω VZI-AAI3S- γιγνώσκω ἀνα
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
νόμου N2--GSM--- νόμος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμέραν N1A-ASF--- ἡμέρα
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
τῆς RA--GSF--- ὁ
πρώτης A1--GSFS-- πρῶτος
ἕως C--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
τῆς RA--GSF--- ὁ
ἐσχάτης A1--GSF--- ἔσχατος
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
ἑορτὴν N1--ASF--- ἑορτή
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ὀγδόῃ A1--DSF--- ὄγδοος
ἐξόδιον N2N-ASN--- ἐξόδιον
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα

Neh 9:1
καὶ C--------- καί
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
εἰκοστῇ A1--DSF--- εἰκοστός
καὶ C--------- καί
τετάρτῃ A1--DSF--- τέταρτος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τούτου RD--GSM--- οὗτος
συνήχθησαν VQI-API3P- ἄγω συν
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
νηστείᾳ N1A-DSF--- νηστεία
καὶ C--------- καί
ἐν P--------- ἐν
σάκκοις N2--DPM--- σάκκος

Neh 9:2
καὶ C--------- καί
ἐχωρίσθησαν VSI-API3P- χωρίζω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἀπὸ P--------- ἀπό
παντὸς A3--GSM--- πᾶς
υἱοῦ N2--GSM--- υἱός
ἀλλοτρίου A1A-GSM--- ἀλλότριος
καὶ C--------- καί
ἔστησαν VAI-AAI3P- ἵστημι
καὶ C--------- καί
ἐξηγόρευσαν VAI-AAI3P- ἀγορεύω ἐκ
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἀνομίας N1A-GSF--- ἀνομία
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

Neh 9:3
καὶ C--------- καί
ἔστησαν VAI-AAI3P- ἵστημι
ἐπὶ P--------- ἐπί
στάσει N3I-DSF--- στάσις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀνέγνωσαν VZI-AAI3P- γιγνώσκω ἀνα
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
νόμου N2--GSM--- νόμος
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἦσαν V9--IAI3P- εἰμί
ἐξαγορεύοντες V1--PAPNPM ἀγορεύω ἐκ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
προσκυνοῦντες V2--PAPNPM κυνέω προς
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Neh 9:4
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἐπὶ P--------- ἐπί
ἀναβάσει N3I-DSF--- ἀνάβασις
τῶν RA--GPM--- ὁ
Λευιτῶν N1M-GPM--- Λευίτης
Ἰησοῦς N---NSM--- Ἰησοῦς
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
Καδμιηλ N---GSM--- Καδμιηλ
Σαχανια N---NSM--- Σαχανια
υἱὸς N2--NSM--- υἱός
Σαραβια N---GSM--- Σαραβια
υἱοὶ N2--NPM--- υἱός
Χανανι N---GSM--- Χανανι
καὶ C--------- καί
ἐβόησαν VAI-AAI3P- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός

Neh 9:5
καὶ C--------- καί
εἴποσαν VBI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
Ἰησοῦς N---NSM--- Ἰησοῦς
καὶ C--------- καί
Καδμιηλ N---NSM--- Καδμιηλ
ἀνάστητε VH--AAD2P- ἵστημι ἀνα
εὐλογεῖτε V2--PAD2P- εὐλογέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
ὑμῶν RP--GP---- σύ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
εὐλογήσουσιν VF--FAI3P- εὐλογέω
ὄνομα N3M-ASN--- ὄνομα
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
καὶ C--------- καί
ὑψώσουσιν VF--FAI3P- ὑψόω
ἐπὶ P--------- ἐπί
πάσῃ A1S-DSF--- πᾶς
εὐλογίᾳ N1A-DSF--- εὐλογία
καὶ C--------- καί
αἰνέσει N3I-DSF--- αἴνεσις

Neh 9:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εσδρας N---NSM--- Εσδρας
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
αὐτὸς RD--NSM--- αὐτός
κύριος N2--NSM--- κύριος
μόνος A1--NSM--- μόνος
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
στάσιν N3I-ASF--- στάσις
αὐτῶν RD--GPM--- αὐτός
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
πάντα A3--ASN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τὰς RA--APF--- ὁ
θαλάσσας N1S-APF--- θάλασσα
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
καὶ C--------- καί
σὺ RP--NS---- σύ
ζωοποιεῖς V2--PAI2S- ζωοποιέω
τὰ RA--APN--- ὁ
πάντα A3--ASM--- πᾶς
καὶ C--------- καί
σοὶ RP--DS---- σύ
προσκυνοῦσιν V2--PAI3P- κυνέω προς
αἱ RA--NPF--- ὁ
στρατιαὶ N1A-NPF--- στρατιά
τῶν RA--GPM--- ὁ
οὐρανῶν N2--GPM--- οὐρανός

Neh 9:7
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σὺ RP--NS---- σύ
ἐξελέξω VAI-AMI2S- λέγω ἐκ
ἐν P--------- ἐν
Αβραμ N---DSM--- Αβραμ
καὶ C--------- καί
ἐξήγαγες VBI-AAI2S- ἄγω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
χώρας N1A-GSF--- χώρα
τῶν RA--GPM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος
καὶ C--------- καί
ἐπέθηκας VHI-AAI2S- τίθημι ἐπι
αὐτῷ RD--DSM--- αὐτός
ὄνομα N3M-ASN--- ὄνομα
Αβρααμ N---ASM--- Ἀβραάμ

Neh 9:8
καὶ C--------- καί
εὗρες VB--AAI2S- εὑρίσκω
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
πιστὴν A1--ASF--- πιστός
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
καὶ C--------- καί
διέθου VEI-AMI2S- τίθημι δια
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
διαθήκην N1--ASF--- διαθήκη
δοῦναι VO--AAN--- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τῶν RA--GPM--- ὁ
Χαναναίων N2--GPM--- Χαναναῖος
καὶ C--------- καί
Χετταίων N2--GPM--- Χετταῖος
καὶ C--------- καί
Αμορραίων N2--GPM--- Ἀμορραῖος
καὶ C--------- καί
Φερεζαίων N2--GPM--- Φερεζαῖος
καὶ C--------- καί
Ιεβουσαίων N2--GPM--- Ιεβουσαῖος
καὶ C--------- καί
Γεργεσαίων N2--GPM--- Γεργεσαῖος
καὶ C--------- καί
τῷ RA--DSN--- ὁ
σπέρματι N3M-DSN--- σπέρμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔστησας VAI-AAI2S- ἵστημι
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
σου RP--GS---- σύ
ὅτι C--------- ὅτι
δίκαιος A1A-NSM--- δίκαιος
σύ RP--NS---- σύ

Neh 9:9
καὶ C--------- καί
εἶδες VBI-AAI2S- ὁράω
τὴν RA--ASF--- ὁ
ταπείνωσιν N3I-ASF--- ταπείνωσις
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κραυγὴν N1--ASF--- κραυγή
αὐτῶν RD--GPM--- αὐτός
ἤκουσας VAI-AAI2S- ἀκούω
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
ἐρυθράν A1A-ASF--- ἐρυθρός

Neh 9:10
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
σημεῖα N2N-APN--- σημεῖον
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
ἐν P--------- ἐν
Φαραω N---DSM--- Φαραώ
καὶ C--------- καί
ἐν P--------- ἐν
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
παισὶν N3D-DPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἔγνως VZI-AAI2S- γιγνώσκω
ὅτι C--------- ὅτι
ὑπερηφάνησαν VDI-API3P- ἁφανέω ὑπερ
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐποίησας VAI-AAI2S- ποιέω
σεαυτῷ RD--DSM--- σεαυτοῦ
ὄνομα N3M-ASN--- ὄνομα
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος

Neh 9:11
καὶ C--------- καί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
ἔρρηξας VAI-AAI2S- ῥήγνυμι
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
παρήλθοσαν VBI-AAI3P- ἔρχομαι παρα
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἐν P--------- ἐν
ξηρασίᾳ N1A-DSF--- ξηρασία
καὶ C--------- καί
τοὺς RA--APM--- ὁ
καταδιώξαντας VA--AAPAPM διώκω κατα
αὐτοὺς RD--APM--- αὐτός
ἔρριψας VAI-AAI2S- ῥίπτω
εἰς P--------- εἰς
βυθὸν N2--ASM--- βυθός
ὡσεὶ C--------- ὡσεί
λίθον N2--ASM--- λίθος
ἐν P--------- ἐν
ὕδατι N3T-DSN--- ὕδωρ
σφοδρῷ A1A-DSM--- σφοδρός

Neh 9:12
καὶ C--------- καί
ἐν P--------- ἐν
στύλῳ N2--DSM--- στῦλος
νεφέλης N1--GSF--- νεφέλη
ὡδήγησας VAI-AAI2S- ὁδηγέω
αὐτοὺς RD--APM--- αὐτός
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
ἐν P--------- ἐν
στύλῳ N2--DSM--- στῦλος
πυρὸς N2--NSM--- πυρός
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
τοῦ RA--GSN--- ὁ
φωτίσαι VA--AAN--- φωτίζω
αὐτοῖς RD--DPM--- αὐτός
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
πορεύσονται VF--FMI3P- πορεύομαι
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Neh 9:13
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ὄρος N3E-ASN--- ὄρος
Σινα N---ASN--- Σινα
κατέβης VZI-AAI2S- βαίνω κατα
καὶ C--------- καί
ἐλάλησας VAI-AAI2S- λαλέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
ἐξ P--------- ἐκ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
κρίματα N3M-APN--- κρίμα
εὐθέα A3U-APN--- εὐθύς
καὶ C--------- καί
νόμους N2--APM--- νόμος
ἀληθείας N1A-APF--- ἀλήθεια
προστάγματα N3M-APN--- πρόσταγμα
καὶ C--------- καί
ἐντολὰς N1--APF--- ἐντολή
ἀγαθάς A1--APF--- ἀγαθός

Neh 9:14
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σάββατόν N2N-ASN--- σάββατον
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
ἐγνώρισας VAI-AAI2S- γνωρίζω
αὐτοῖς RD--DPM--- αὐτός
ἐντολὰς N1--APF--- ἐντολή
καὶ C--------- καί
προστάγματα N3M-APN--- πρόσταγμα
καὶ C--------- καί
νόμον N2--ASM--- νόμος
ἐνετείλω VAI-AMI2S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
Μωυσῆ N1M-GSM--- Μωυσῆς
δούλου N2--GSM--- δοῦλος
σου RP--GS---- σύ

Neh 9:15
καὶ C--------- καί
ἄρτον N2--ASM--- ἄρτος
ἐξ P--------- ἐκ
οὐρανοῦ N2--GSM--- οὐρανός
ἔδωκας VAI-AAI2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
σιτοδείαν N1A-ASF--- σιτοδεία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὕδωρ N3--ASN--- ὕδωρ
ἐκ P--------- ἐκ
πέτρας N1A-GSF--- πέτρα
ἐξήνεγκας VAI-AAI2S- φέρω ἐκ
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
δίψαν N1S-ASF--- δίψα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἶπας VAI-AAI2S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
κληρονομῆσαι VA--AAN--- κληρονομέω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐφ' P--------- ἐπί
ἣν RR--ASF--- ὅς
ἐξέτεινας VAI-AAI2S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
δοῦναι VO--AAN--- δίδωμι
αὐτοῖς RD--DPM--- αὐτός

Neh 9:16
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ὑπερηφανεύσαντο VAI-AMI3P- ἠφανεύομαι ὑπερ
καὶ C--------- καί
ἐσκλήρυναν VAI-AAI3P- σκληρύνω
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
